Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Native,https://native.org,"Native is crypto's invisible DEX layer. Each DEX is owned by an individual project and embedded into that project's UI, with access to liquidity across the entire network.","['Ethereum', 'Binance', 'Arbitrum', 'Polygon', 'Avalanche']",native_fi,7527995.000605293,"{'Binance': 1607101.890085597, 'Ethereum': 4436397.016299321, 'Avalanche': 162931.52729338012, 'Polygon': 426923.32714693015, 'Arbitrum': 894641.2397800644}",Dexes
UltronSwap,https://ultronswap.com,"Ultron Foundation is an EVM-compatible layer-1 blockchain system supported by Solidity Finance, with a fully functioning DeFi ecosystem that includes a native coin and dApps. The project was initiated in 2020 with a multi-cultural team of blockchain professionals developing internal products",['Ultron'],ultron_found,7411459.665035852,"{'Ultron': 7411459.665035852, 'Ultron-staking': 718369.767445559, 'staking': 718369.767445559}",Dexes
Atrix,https://www.atrix.finance,A Serum-based AMM on Solana allowing for permissionless liquidity and farming.,['Solana'],AtrixProtocol,7243237.681138587,{'Solana': 7243237.681138587},Dexes
ShadeSwap,https://shadeprotocol.io,A privacy preserving dex with a novel curve for liquid staking derivatives and stablecoins.,['Secret'],Shade_Protocol,7099474.336678227,{'Secret': 7099474.336678227},Dexes
LumenSwap,https://lumenswap.io,"Lumenswap is a decentralized exchange built on the Stellar network that allows you to swap and trade assets using a friendly, minimal interface.",['Stellar'],lumenswap,6996475.612866,{'Stellar': 6996475.612866},Dexes
Kokonut Swap,https://kokonutswap.finance,"Kokonut Swap is a 2nd generation DEX protocol, with the lowest slippage and fees made possible through self-implemented Stable Swaps and Crypto Pools.","['Klaytn', 'Base', 'Polygon zkEVM']",,6943907.499949942,"{'Polygon zkEVM': 492982.01911457465, 'Klaytn-staking': 394658.86090167623, 'Klaytn': 4335859.205422977, 'Base': 2115066.275412391, 'staking': 394658.86090167623}",Dexes
Meteora pools,https://mercurial.finance/,Meteora Pools is building the infrastructure for stable and pegged assets for Solana.,['Solana'],MeteoraAG,6520391.974462694,{'Solana': 6520391.974462694},Dexes
Tinyman,https://tinyman.org,Tinyman is a next-generation decentralized AMM on the Algorand blockchain.,['Algorand'],tinymanorg,6516334.191932064,{'Algorand': 6516334.191932064},Dexes
VanSwap,https://www.vanswap.org/#/home,"DEX Built On Vision Network. Uses A “Defi + NFT” Paradigm, Which Isolates The Platform Token's Governance Utility From Its Governance System And Uses NFT To Power It",['Vision'],Van_Swap,6448400.560743442,"{'Vision': 6448400.560743442, 'Vision-staking': 87954.73867769689, 'staking': 87954.73867769689}",Dexes
10KSwap,https://10kswap.com/,"An AMM that advances with Ethereum, deployed on StarkNet Mainnet",['Starknet'],10KSwap,5928004.563978151,{'Starknet': 5928004.563978151},Dexes
Velocore V1,https://velocore.xyz,"Velocore is a low-slippage DEX on zkSync Era. Swap, farming, Lending, launchpad and vault. Building the essential blocks of DeFi on top of zkRollup technology.",['zkSync Era'],velocorexyz,5675770.304255691,"{'zkSync Era': 5675770.304255691, 'zkSync Era-staking': 732032.27149051, 'staking': 732032.27149051}",Dexes
SpaceFi zkSync,https://spacefi.io,"SpaceFi is a cross-chain web3.0 platform, with DEX+Farm+NFT+Starter+Spacebase.",['zkSync Era'],spacefi_io,5669059.255876327,{'zkSync Era': 5669059.255876327},Dexes
SundaeSwap,https://www.sundaeswap.finance/,The first native AMM-based decentralized exchange and liquidity provision protocol on Cardano.,['Cardano'],SundaeSwap,5625852.978345972,{'Cardano': 5625852.978345972},Dexes
KnightSwap Finance,https://knightswap.financial,"Trade, Earn, & Raid To Stack Your Riches While Securely Storing Them Within Our Castle Vaults","['Binance', 'Fantom']",KnightEcosystem,5297091.326901395,"{'Binance': 5141459.586603424, 'Binance-staking': 80836.19887682941, 'Fantom-staking': 0, 'staking': 80836.19887682941, 'Fantom': 155631.7402979709}",Dexes
Orion Protocol,https://www.orionprotocol.io,The Orion Protocol is an open source protocol that provides liquidity and token swaps through its suite of persistent smart contracts enabling a trustless and fully decentralized trading ecosystem. It connects and aggregates the orderbooks of the largest centralized and decentralized liquidity sources in the industry on the most popular networks to minimize price volatility and slippage and maximize security and accessibility.,"['Binance', 'Ethereum']",orion_protocol,5235274.835323969,"{'Binance': 4343387.888243692, 'Ethereum': 891886.9470802773}",Dexes
DOOAR,https://beta.dooar.com/swap,DOOAR is a multi-chain DEX built by Find Satoshi Lab for STEPN users and beyond.,"['Solana', 'Binance']",Dooarofficial,5169700.673103109,"{'Binance': 552457.7133683086, 'Solana': 4617242.9597348}",Dexes
Kaidex,https://kaidex.io,"KAIDEX is the first of its kind in the decentralized exchange market, possessing the capabilities of a completely decentralized cross-chain token trading platform. KAIDEX is built upon the Dual Node technology, a novel patent-pending technology that would truly revolutionize multi-chain swapping.",['Kardia'],KardiaChain,5028465.169694948,{'Kardia': 5028465.169694948},Dexes
Hummus Exchange,https://www.hummus.exchange,The Hummus protocol is a single-side Automated Market Maker designed for exchanging stable cryptocurrencies on the Metis blockchain.,['Metis'],hummusdefi,4990488.804954868,"{'Metis': 4990488.804954868, 'Metis-staking': 237249.4295924007, 'staking': 237249.4295924007}",Dexes
