Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Muffin,https://muffin.fi/,AMM with concentrated liquidity + multiple fee tiers per pool + keeper-less limit orders.,['Ethereum'],Muffin_fi,107233.10795162154,{'Ethereum': 107233.10795162154},Dexes
Snowflake Exchange,https://www.snowflake.exchange,"The Snowflake Exchange protocol is a next-gen single-side AMM (decentralized exchange) designed for exchanging stable cryptocurrencies (USDT, USDC, DAI, MAI) on the Polygon blockchain.","['Polygon', 'Binance']",Snowflake_Defi,106397.552985848,"{'Binance': 0, 'Binance-staking': 0, 'Polygon': 106397.552985848, 'Polygon-staking': 0, 'staking': 0}",Dexes
Rose,https://app.rose.fi,"Rose is a liquidity protocol on Aurora composed of a stablecoin & wrapped assets exchange, and a Collateralized Debt Position (CDP) based stablecoin utilizing interest bearing tokens as collateral.",['Aurora'],RoseOnAurora,106309.54438694839,"{'Aurora-staking': 13408.39063443825, 'Aurora': 106309.54438694839, 'borrowed': 7972.548614982635, 'Aurora-borrowed': 7972.548614982635, 'staking': 13408.39063443825}",Dexes
MiniSwap,https://www.miniswap.org,We introduce MiniSwap to enable a connected network of DeFi ecosystems. MiniSwap provides a decentralised platform for exercising financial products.,['Ethereum'],Mini_Swap,104642.90805891693,{'Ethereum': 104642.90805891693},Dexes
Bomb Finance,https://app.fbomb.finance,Bombswap is an AMM on the Fantom Opera network.,['Fantom'],fBombOpera,104552.42016948931,{'Fantom': 104552.42016948931},Dexes
Tendie Swap,https://tendieswap.app/#/swap,Launching the first Defi Hub on Tenet. Our goal is to be the main Defi hub on Tenet offering projects tools to bootstrap liquidity.,['Tenet'],Tendieswap,103035.50350372602,{'Tenet': 103035.50350372602},Dexes
Alcor Exchange,https://alcor.exchange,"Alcor is a lego of decentralized finance built on multi-chain, and a provider of solutions in one tap.","['Wax', 'EOS']",theparallel_io,102861.09356528755,"{'EOS': 1965.2555273366997, 'Wax': 100895.83803795085}",Dexes
Lighter,https://lighter.xyz,"Liquid digital assets traded the way they were meant to be with the fully decentralized order book exchange for spot trading on L2’s, now live on Arbitrum.",['Arbitrum'],Lighter_xyz,101739.64473568356,{'Arbitrum': 101739.64473568356},Dexes
CafeSwap,https://cafeswap.finance,"CafeSwap is a yield farming and staking platform on BSC Chain, We have chosen BSC because of its low tnx fees and faster speed. We have built this project to provide the best experience with farming while regulating the supply, We believe in partnerships hence we aim to bring all BSC DeFi ecosystems in one place to have a friendly ecosystem for all of us.","['Binance', 'Polygon']",CafeSwapFinance,100611.92680196474,"{'Binance': 76575.48619039575, 'Binance-staking': 0, 'Polygon': 24036.440611568993, 'Polygon-staking': 0, 'staking': 0}",Dexes
Yodeswap,https://yodeswap.dog,"YodeSwap is one of the first automated market-making (AMM), decentralized exchanges (DEX) for the Dogechain Network.",['Dogechain'],Yodeswap,100386.3016698678,"{'Dogechain': 100386.3016698678, 'Dogechain-staking': 59.30498115685663, 'staking': 59.30498115685663}",Dexes
Alphadex,https://alphadex.io,"The Ultimate Cross-Chain AMM, Incubator and NFT Launchpad powered by #Moonriver","['Moonriver', 'Kava']",thealphadex,100102.62737938188,"{'Kava': 0, 'Moonriver': 100102.62737938188}",Dexes
Knight DEX,https://knightdex.cc/,"KnightDEX is a AMM DEX with low slippage and deep liquidity on opBNB Chain. As an automated market-maker (AMM), KnightDEX enables seamless exchanges of a broad range of coin pairs with Low Slippage and High Liquidity.",['Op_Bnb'],Knightdex_cc,99545.55489233673,{'Op_Bnb': 99545.55489233673},Dexes
ViperSwap,https://viper.exchange,ViperSwap is Harmony's leading DEX. Building on top of Harmony's 2-second finality and insanely low fees it's one of the fastest and cheapest DEXes to use.,['Harmony'],VenomDAO,99524.26814619412,"{'Harmony-staking': 0, 'Harmony': 99524.26814619412, 'staking': 0}",Dexes
OpenXswap,https://openxswap.exchange,"The OpenX Project creates modular, blockchain-native tools intended to onboard new users and would-be builders to the open exchange of ideas and value digital currencies make possible.",['Optimism'],OpenXSwap,96102.56025186766,"{'Optimism': 96102.56025186766, 'Optimism-staking': 27250.244750782636, 'staking': 27250.244750782636}",Dexes
MetaCoin Swap,https://metacoinswap.io/,"MetacoinSwap is a decentralized exchange platform constructed on top of EVM compatible blockchains. It provides order book tradings for users, with visualised candlestick charts to enhance trading experience",['Binance'],metacoinswap,92722.28414729796,{'Binance': 92722.28414729796},Dexes
NewDex,https://newdex.io,"Newdex is committed to taking advantage of the composability of DeFi to aggregate the depth of DEX in multiple chains, develop the aggregated DEX with ""best depth, best price and best experience"", provide users with good decentralized trading experience, and become multi-chain DEX trading entry.",['EOS'],NewdexOfficial,90269.817172427,{'EOS': 90269.817172427},Dexes
ChickenSwap,https://www.chickenswap.org/#/,"ChickenSwap DEX is a Decentralized Exchange, similar to Uniswap. All users can provide liquidity and trade crypto assets here without any centralized orderbook.",['Ethereum'],ChefGrandpa,89925.04891207044,"{'Ethereum': 89925.04891207044, 'pool2': 1261.6050287563294, 'Ethereum-staking': 5459.9834998594, 'staking': 5459.9834998594, 'Ethereum-pool2': 1261.6050287563294}",Dexes
FluxBeam,https://fluxbeam.xyz,"Solana DEX, supporting innovation and Token-2022",['Solana'],FluxBeamDEX,89420.21233166785,{'Solana': 89420.21233166785},Dexes
Complus Network,https://complus.exchange,Complus Network is an (AMM) decentralized crypto exchange (DEX) and yield farming protocol on Avalanche.,"['Avalanche', 'Binance', 'Heco', 'Polygon']",complusnetwork,89161.83129782738,"{'Binance': 15161.401344273469, 'Heco': 9777.666361043892, 'Avalanche': 64043.9023371429, 'Polygon': 178.86125536712962}",Dexes
ButterSwap,https://www.butterswap.me/,The leading AMM DEX / yield farming / NFT gaming platform on HECO audited by CertiK and Knownsec.,"['Binance', 'Heco']",ButterSwap,88300.97236401727,"{'Binance': 77170.11555684952, 'Binance-staking': 0, 'Heco': 11130.856807167751, 'Heco-staking': 0, 'staking': 0}",Dexes
Degen Haus,https://www.degen.haus/,Degen Haus is a place that should have been here years ago. Are you sick of teddy bear/dog/cat memes and other regurgitated cyrpto-themes? Time for something unique and different. That’s where Degen Haus comes in!,['Fantom'],HouseDegen,87471.05206510946,"{'Fantom-staking': 44.47215951080408, 'staking': 44.47215951080408, 'Fantom': 87471.05206510946}",Dexes
BambooDeFi,https://www.bamboodefi.com,"A new generation DeFi that brings together the best of protocols like Uniswap v2, SushiSwap, YAM ,Compound with security improvements & new protocols like BBYP.","['Binance', 'Ethereum', 'Polygon', 'Velas']",FiBamboo,87469.29741930024,"{'Binance': 34613.76512481589, 'Ethereum': 28201.331900088633, 'Polygon': 16685.478097494546, 'Velas': 7968.722296901182}",Dexes
DerpDEX,https://derpdex.com/,"Trade, earn, stake, and launch crypto with the most autistic DEX on the internet. Make derp great again","['zkSync Era', 'Base']",DerpDEXcom,87467.94195896525,"{'zkSync Era': 76370.90836816272, 'Base': 11097.033590802524}",Dexes
Zencha Finance,https://www.zencha.finance/#/,The First StableSwap Exchange & Liquidity Pool  Brewing on BobaNetwork,['Boba'],ZenchaFinance,85773.45273271266,{'Boba': 85773.45273271266},Dexes
TTswap,https://ttswap.space/#/swap,TTSwap is a DEX (decentralized exchange) on the ThunderCore blockchain based on the model: Automated Market-Making (AMM) inspired by Uniswap.,['ThunderCore'],ThunderProtocol,85234.73282311356,{'ThunderCore': 85234.73282311356},Dexes
SoulSwap,https://soul.sh,"Soul is an algorithmic, cross-chain AMM and P2P lending protocol (on Fantom) built for traders, investors, developers, and visionaries seeking to unlock a universe of open financial applications.","['Fantom', 'Avalanche']",SoulSwapFinance,84607.30255117637,"{'Fantom-staking': 18547.538450329637, 'Fantom-borrowed': 246.79942310634814, 'Avalanche': 0, 'Avalanche-staking': 5312.573704041308, 'borrowed': 431.08804776626846, 'Fantom': 84607.30255117637, 'staking': 23860.112154370945, 'Avalanche-borrowed': 184.28862465992034}",Dexes
PegaSys V2,https://pegasys.finance,"Swap, earn, and build with the leading decentralized crypto trading protocol on Syscoin.",['Syscoin'],PegasysDEX,84327.54107665588,{'Syscoin': 84327.54107665588},Dexes
Algofi Swap,https://www.algofi.org/,Decentralized swap protocol built on Algorand,['Algorand'],algofiorg,81997.25440666905,{'Algorand': 81997.25440666905},Dexes
Diffusion Finance,https://diffusion.fi,"The Diffusion protocol is a Uniswap V2 fork deployed on Evmos, a Cosmos EVM-based bockchain",['Evmos'],diffusion_fi,80513.20161582292,"{'Evmos': 80513.20161582292, 'Evmos-staking': 51684.949199, 'staking': 51684.949199}",Dexes
Kapinus,https://kapinus.io,"Kapinus connected traditional tools and the DEFI market. The main motivation is to integrate fiat pairs into the decentralized sector. Fiat replica - its a BEP20 token that is tied to the exchange rate of the internal P2P market, regulated by our algorithms and based on the P2P rate of Binance.",['Binance'],Kapinus_io,80509.86291690139,{'Binance': 80509.86291690139},Dexes
0.exchange,https://app.0.exchange/,The world's first Multi-DEX platform,"['Avalanche', 'Binance', 'Polygon']",OfficialZeroDEX,79666.21612815243,"{'Binance': 19228.255703784067, 'Avalanche': 59043.004213715336, 'Polygon': 1394.956210653025}",Dexes
HunnySwap,https://hunnyswap.com,AMM style DEX and Farming on Avalanche,['Avalanche'],hunnyswap,79327.34528812653,{'Avalanche': 79327.34528812653},Dexes
Invariant,https://invariant.app,"Invariant is the revolutionary AMM DEX with concentrated liquidity built on Solana that prioritizes capital efficiency, permissionless, and composability.",['Solana'],invariant_labs,78058.81211904502,{'Solana': 78058.81211904502},Dexes
SumSwap,https://www.sumswap.org/#/,"The Sumswap unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.",['Ethereum'],sum_swap,77863.37653401936,{'Ethereum': 77863.37653401936},Dexes
Shinobi,https://shinobi.ubiq.ninja/#/swap,Shinobi is a protocol for creating liquidity and trading ERC-20 tokens on Ubiq.,['Ubiq'],ubiqsmart,77382.4267999402,{'Ubiq': 77382.4267999402},Dexes
Crow Finance,https://crowfi.app/,Built on the Cronos Network. Stake & Swap from your wallet.,['Cronos'],crowfi_,76761.64644181712,{'Cronos': 76761.64644181712},Dexes
QuipuSwap V3,https://quipuswap.com,"QuipuSwap is an open-source protocol that provides an interface for the seamless decentralized exchange of Tezos-based Tokens, stable swap with dividends, and farming features. Liquidity providers may earn fees from trading, baking rewards, or receive rewards from staking tokens on farms. QuipuSwap smart contracts were developed by the MadFish Team and audited by Least Authority and  Runtime Verification companies.",['Tezos'],QuipuSwap,76603.15372849087,{'Tezos': 76603.15372849087},Dexes
UniTrade,https://unitrade.app/,Crosschain tool that allows users to place limit and market orders on DEXes of multiple chains,['Ethereum'],UniTradeApp,75657.98952789998,{'Ethereum': 75657.98952789998},Dexes
Darkness,https://www.darkness.finance,DarkNess Finance is the first multi-fractional-algorithmic stablecoin with stablecoins DEX on Cronos Chain,['Cronos'],DarkCryptoFi,72919.9545954932,"{'Cronos': 72919.9545954932, 'pool2': 44720.883500297365, 'Cronos-pool2': 44720.883500297365, 'Cronos-staking': 675.43195007522, 'staking': 675.43195007522}",Dexes
WoofSwap,https://www.woofswap.finance,"The first ve(3,3) DEX on #Shibarium.",['Shibarium'],woofswap,72331.78910931258,{'Shibarium': 72331.78910931258},Dexes
Foodcourt,https://reix.foodcourt.finance,Foodcourt is DEX on REI chain that enable KUMA stable yield farming.,"['Binance', 'REIchain']",FoodcourtF,70969.97250134342,"{'Binance': 40496.63210638422, 'REIchain': 30473.3403949592}",Dexes
Swapline,https://swapline.com,Swapline is a multichain DEX bringing the power of Liquidity Book AMM to new ecosystems. Experience trading with zero slippage!,"['Base', 'Optimism', 'Fantom', 'Arbitrum', 'Polygon zkEVM']",SwaplineDEX,70363.70752289612,"{'Optimism': 22589.414893869314, 'Polygon zkEVM': 58.64016157945676, 'Arbitrum': 3769.657575131094, 'Base': 24298.28812253916, 'Fantom': 19647.7067697771}",Dexes
AnchorSwap,https://anchorswap.app/,AnchorSwap is a Decentralized Exchange and Automatic Liquidity Acquisition Yield Farm,['Binance'],AnchorSwap,69496.6059653137,"{'Binance': 69496.6059653137, 'Binance-staking': 48394.374885657635, 'staking': 48394.374885657635}",Dexes
ChewySwap,https://chewyswap.dog,"ChewySwap is the leading Community-Based decentralized exchange on both Shibarium and Dogechain, the two leading EVM compatible blockchains for Dog lovers",['Shibarium'],ChewySwap,69060.16611926,{'Shibarium': 69060.16611926},Dexes
StarkEx,https://app.starkex.org,"StarkEx AMM, Liquidity Farms, and Reward pools on StarkNet. StarkEx is also a community-based and open-source ecosystem for DeFi! Say goodbye to CeFi!.",['Starknet'],Starkex_org,68619.57390461933,{'Starknet': 68619.57390461933},Dexes
EvmoSwap,https://app.evmoswap.org/,EvmoSwap is a Decentralized Autonomous Organization (DAO) that offers a full suite of tools to explore and engage with decentralized finance opportunities.,['Evmos'],evmoswap,67828.0462414986,{'Evmos': 67828.0462414986},Dexes
WOWswap,https://wowswap.io,"WOWswap is a decentralized leveraged trading protocol built on Ethereum, Solana, Arbitrum, Avalanche, Binance Smart Chain, IoTeX, Polygon and HECO Chain.","['IoTeX', 'Avalanche', 'Binance', 'Polygon', 'Ethereum', 'Heco', 'Kava', 'Metis']",Wowswap_io,67265.02589621188,"{'Metis': 0, 'Kava': 17.630349741036838, 'Kava-staking': 5.4898000000000005e-17, 'IoTeX-staking': 137.90146445373603, 'Heco-staking': 0.5819188, 'Binance': 14098.70306292017, 'IoTeX': 25302.44801110396, 'Ethereum': 3110.04007573077, 'Binance-staking': 8210.890522478501, 'Heco': 99.1572924183342, 'Avalanche': 19960.82986735108, 'Avalanche-staking': 321.03745929630657, 'Ethereum-staking': 0.054898, 'Polygon': 4676.21723694653, 'Metis-staking': 4.5583559385829595, 'Polygon-staking': 149.98185474161033, 'staking': 8825.00647370874}",Dexes
Spin Spot,https://spin.fi,"Spin is a DeFi derivatives infrastructure built on NEAR Protocol, a reliable and scalable L1 solution. The on-chain order book solution offered by Spin provides a CEX-competitive experience to DeFi users.",['Near'],spin_fi,64606.76360741997,{'Near': 64606.76360741997},Dexes
KwikSwap,https://home.kwikswap.org,"Kwikswap is a revolutionary Multi Cross Chain Swap Protocol with Layer 2 Scaling powered by Ethereum, Polkadot, Shiden, Astar (formerly Plasm), Reef Chain, BSC & Acala Network. Use Kwikswap for Swapping, Market Creation, Provide Liquidity & Staking","['Ethereum', 'Polygon', 'Shiden', 'Binance']",kwikswapdex,64275.39590888799,"{'Shiden-staking': 0, 'Binance': 6836.157826830057, 'Ethereum': 40147.97068224448, 'Shiden': 8578.667089898036, 'Ethereum-staking': 0, 'Polygon': 8712.600309915419, 'Polygon-staking': 0, 'staking': 0}",Dexes
StableKoi,https://app.stablekoi.com,"With a mission of connecting the world's assets, StableKoi is designed to facilitate high volume stablecoin trades with low slippage and tight spreads.","['Godwoken', 'GodwokenV1']",stablekoi,64099.79490167026,"{'Godwoken': 61777.82053616206, 'Godwoken-staking': 0, 'GodwokenV1': 2321.9743655082043, 'staking': 0}",Dexes
Baguette,https://baguette.exchange,"A community-backed decentralized exchange for Avalanche assets, but with the perfect smell of freshly baked bread.",['Avalanche'],Baguette_avax,63848.461979134816,{'Avalanche': 63848.461979134816},Dexes
zk-Swap,https://app.zk-swap.xyz,"zkSwap is an Automated Market Maker (AMM) that provides traders with greater control over the price ranges they provide liquidity to, enabling a more efficient trading experience. It leverages concentrated liquidity to improve capital efficiency and offers flexible fee structures, auto-compounding fees, and farming rewards.",['zkSync Era'],_zkSwap,63634.05790188878,{'zkSync Era': 63634.05790188878},Dexes
Auragi Finance,https://auragi.finance,"Auragi Finance is an automatic market maker with ve(3,3) mechanics. We offer our users minimal slippage, low swapping fees and deep liquidity. And, our swapping fees are 0.01% for stable and 0.05% for volatile pairs.",['Arbitrum'],AuragiFinance,62505.482403398186,{'Arbitrum': 62505.482403398186},Dexes
Solunea,https://www.solunea.xyz,"Solunea is the first 100% Real Yield & Community owned ve(3,3) DEX on zkSync Era.","['zkSync Era', 'Arbitrum']",SoluneaDex,62141.82138939239,"{'zkSync Era': 54075.1155364503, 'Arbitrum': 8066.705852942087}",Dexes
MM Stableswap Polygon,https://polymm.finance,MM Finance swap on Polygon network,['Polygon'],MMFcrypto,60510.09522950018,{'Polygon': 60510.09522950018},Dexes
Jexchange,https://jexchange.io,Decentralized P2P exchange on Elrond Blockchain. Simple and intuitive platform to create tokens exchange offers.,['Elrond'],jexchangeP2P,60438.291217460384,{'Elrond': 60438.291217460384},Dexes
MochiSwap,https://mochiswap.io,"MochiSwap is a Decentralized DEX exchange and supports users around the world offering decentralized asset swapping and liquidity pools, security is high concern and the DAO is under control with a ""Gnosis Safe” multisignature wallet. MochiSwap currently supports Harmony ONE, Binance Smart Chain along with Incentivized liquidity pools for yield mining.","['Binance', 'Harmony']",mochiswap,60129.059212003136,"{'Binance': 34316.74141302306, 'Binance-staking': 0, 'Harmony-staking': 0, 'Harmony': 25812.31779898008, 'staking': 0}",Dexes
StableBase,https://stablebase.fi,StableBase is an automated market maker (AMM) function focused on swapping between correlated assets - that include stablecoins & pegged-value cryptos (e.g. LSDs) - with minimal slippage for traders and more efficient trading for liquidity providers..,['Base'],stablebasefi,59971.17253781175,"{'Base-staking': 0, 'Base': 59971.17253781175, 'staking': 0}",Dexes
Velocimeter V1,https://canto.velocimeter.xyz/,"Velocimeter's twin-AMM design unites StableSwap pools with Standard 'kxy' liquidity pools. All the trading fees go to Vote-Escrowers of emission token $FLOW which has to be Locked to earn triple 'Bribes' from candidate pools via Trade Fee, Internal Bribes & External Bribes",['Canto'],VelocimeterDEX,58332.66082672807,"{'Canto-staking': 0, 'staking': 0, 'Canto': 58332.66082672807}",Dexes
LFGSwap EthereumPoW,https://app.lfgswap.finance/swap,AMM DEX on EthereumPoW and CORE Chain,['EthereumPoW'],LfgSwap,58274.7909530972,{'EthereumPoW': 58274.7909530972},Dexes
MemeDex,https://swap.memedex.one/,"A next-gen AMM on Conflux eSpace, aiming to leverage the cross-chain liquidity between Core, eSpace, and other chains",['Conflux'],memedexcfx,57019.34897294732,{'Conflux': 57019.34897294732},Dexes
MagicFox Swap,https://app.magicfox.fi/swap,"MagicFox is Multichain Solidly ve(3,3) Swap & Yield Optimizer on BNB Chain, Arbitrum and Polygon built atop LayerZero","['Arbitrum', 'Binance', 'Polygon']",magicfoxfi,56181.49726082178,"{'Binance': 5849.100817022081, 'Polygon': 102.35077213889761, 'Arbitrum': 50230.0456716608}",Dexes
SpaceFi Evmos,https://spacefi.io,"SpaceFi is a cross-chain web3.0 platform, with DEX+Farm+NFT+Starter+Spacebase.",['Evmos'],spacefi_io,56165.598643623016,{'Evmos': 56165.598643623016},Dexes
CGX Finance,https://cgx.finance,CougarExchange - A next evolution DeFi exchange on Cronos (CRO).,['Cronos'],cougarswap,55722.44140785305,"{'Cronos': 55722.44140785305, 'pool2': 8157.553500160714, 'Cronos-pool2': 8157.553500160714, 'Cronos-staking': 7212.08986, 'staking': 7212.08986}",Dexes
Woof Finance,https://www.woof.finance/#/swap,DEX on Shibarium.,['Shibarium'],wooffinance,55383.331921413395,{'Shibarium': 55383.331921413395},Dexes
Doge Shrek,https://dogeshrek.com,The official exchange from the swamp on dogechain.,['Dogechain'],DogeShrek,54796.67730525801,{'Dogechain': 54796.67730525801},Dexes
YetiSwap,https://www.yetiswap.app/,"A decentralized exchange for Avalanche and Ethereum assets with fast settlement, low transaction fees.",['Avalanche'],YetiSwap,53902.84078051731,{'Avalanche': 53902.84078051731},Dexes
Behodler,https://behodler.io,"Efficient, low cost, single sided Automated Market Maker (AMM) with a universal liquidity token, $SCX. Offering lower impermanent loss than traditional AMMs, and shining as a wholesaler of yield strategies, for half the gas of alternative options.",['Ethereum'],BehodlerAMM,53783.850226365714,{'Ethereum': 53783.850226365714},Dexes
Paint Swap,https://paintswap.finance,"PaintSwap Finance has the premier open NFT Marketplace on Fantom. It has a unique and sustainable yield farming AMM platform where 50% of farming rewards are locked for 3 months in the Art Gallery. The first project to create a video game built on the Fantom network, as well as many other exciting features in the works.",['Fantom'],paint_swap,52313.47843243955,"{'Fantom-staking': 983686.9566204166, 'staking': 983686.9566204166, 'Fantom': 52313.47843243955}",Dexes
RskSwap,https://rskswap.com,RSK Swap is a fork of the Uniswap Protocol adapted for the RSK network.,['RSK'],RskSwap,51471.386549629235,{'RSK': 51471.386549629235},Dexes
Loop Finance,https://www.loop.markets,LOOPTokenized Community & DEX on Terra,"['Terra', 'Juno']",loop_finance,51295.89376715846,"{'Terra': 26813.287280471635, 'Juno': 24482.60648668682}",Dexes
EazySwap,https://www.eazyswap.io/,Native DEX on Pulsechain,['Pulse'],EazySwap,50717.78385162457,"{'Pulse-staking': 0, 'Pulse': 50717.78385162457, 'staking': 0}",Dexes
Sobal,https://sobal.fi/,"Sobal is a decentralized asset management platform, or in simple terms, a DEX that utilizes Balancer V2's powerful and flexible smart contracts, providing an unparalleled DeFi experience for builders, investors and traders","['Neon', 'Base']",sobalfi,50204.42699868578,"{'Neon': 38482.2812304323, 'Base': 11722.145768253486}",Dexes
LatteSwap,https://app.latteswap.com,"A caffeine-filled, NFT-integrated DEX platform on Binance Smart Chain",['Binance'],latteswapOG,50076.46693113403,"{'Binance': 50076.46693113403, 'Binance-staking': 0, 'staking': 0}",Dexes
Tenx,https://www.tenx.exchange/#/swap,Dex on Tenet,['Tenet'],,48898.39967992647,{'Tenet': 48898.39967992647},Dexes
SwapFish,https://swapfish.fi/,SwapFish Finance is a Decentralized Exchange protocol native to the Arbitrum blockchain. With SwapFish users can trade crypto assets as well as earn trading fees and FISH tokens,"['Arbitrum', 'Binance']",SwapFishFi,48179.85409580266,"{'Binance': 4135.1300688637875, 'Binance-staking': 0, 'Arbitrum-staking': 0, 'Arbitrum': 44044.72402693887, 'staking': 0}",Dexes
Veplus,https://veplus.io,Veplus is a community-owned decentralized exchange and liquidity layer on BNB Chain.,['Binance'],VeplusOfficial,47760.74641355063,{'Binance': 47760.74641355063},Dexes
Aptoswap,https://aptoswap.net,Swap platform on Aptos,['Aptos'],aptoswap_net,46255.054366152835,{'Aptos': 46255.054366152835},Dexes
Interest Protocol-SUI,https://www.interestprotocol.com/,"Interest Protocol is a DeFi dApp on the Sui Network that allows users to swap, borrow and lend",['Sui'],interest_dinero,45027.429488866015,{'Sui': 45027.429488866015},Dexes
EmiSwap,https://emiswap.com/,"EmiSwap is an audited, high APR, and cross-chain AMM DEX that offers users a secure environment to extract daily high yields from liquidity mining and farming.","['Polygon', 'Ethereum', 'Shiden', 'Astar', 'Kucoin', 'Avalanche', 'Aurora']",EmiSwap,44521.38168152406,"{'Kucoin': 18.045161279024907, 'Ethereum': 17189.62661359334, 'Aurora': 0.012929721432695503, 'Astar': 121.90774865658989, 'Shiden': 9002.368766526773, 'Avalanche': 2.0010673811678696, 'Ethereum-staking': 0, 'Polygon': 18187.41939436573, 'staking': 0}",Dexes
Primitive,https://primitive.xyz/,"Primitive built the Replicating Market Maker (""RMM"") protocol, an oracle-free solution to scalable and efficient on-chain derivatives.",['Ethereum'],PrimitiveFi,44466.62446158048,{'Ethereum': 44466.62446158048},Dexes
Kebab Finance,https://kebabfinance.com/,Kebab Finance is a DEX using AMM technology. Started out as a PancakeSwap fork and have grown to forge their own identity and community.,['Binance'],kebabfinance,43481.53896343454,"{'Binance': 43481.53896343454, 'Binance-staking': 0, 'staking': 0}",Dexes
KACO Finance,https://www.kaco.finance/,Fast growing Defi on BSC and Shiden! Fractionalize and farm NFTs.,"['Shiden', 'Binance']",KacOFinance,43290.09871821425,"{'Binance': 8135.693032901126, 'Binance-staking': 1930.0502333385054, 'Shiden': 35154.405685313126, 'Shiden-staking': 0, 'staking': 1930.0502333385054}",Dexes
PolkaEx,https://www.polkaex.io,"PolkaEx is a cross-chain Dex and Launchpad on Polkadot, using Astar Network to provide higher TPS and lower transaction fees.","['Astar', 'Shiden', 'Binance', 'Ethereum', 'Polygon']",PolkaExOfficial,43275.05069759793,"{'Astar-staking': 419.95800003738003, 'Shiden-staking': 0, 'Binance': 130.41331728753443, 'Ethereum': 8.86100981935588, 'Astar': 40741.83561856688, 'Binance-staking': 0, 'Shiden': 2393.9407519241545, 'Polygon': 0, 'Polygon-staking': 0, 'staking': 419.95800003738003}",Dexes
Forteswap,https://forteswap.xyz/,AMM Dex on Canto,['Canto'],,42795.21280516548,{'Canto': 42795.21280516548},Dexes
Tonic,https://tonic.foundation/,"Tonic is an open source, decentralized limit order book and perps exchange built on NEAR",['Near'],tonicdex,42677.32036493175,{'Near': 42677.32036493175},Dexes
Vortex Protocol,https://app.vortex.network/,Vortex is an all-in-one decentralized finance protocol built on the Tezos blockchain.,['Tezos'],vortexAMM,42248.60157347162,"{'Tezos-staking': 0, 'Tezos': 42248.60157347162, 'staking': 0}",Dexes
BoneSwap Bonerium,https://www.boneriumtech.com/#/swap,AMM on Bone Network,['Bone'],Bonerscan,41498.643042505595,{'Bone': 41498.643042505595},Dexes
SaitaSwap,https://dex.saita.pro/home,Official Dex of Saitama,"['Ethereum', 'Binance']",WeAreSaitama,41426.238164347356,"{'Binance': 13799.829485787439, 'Ethereum': 27626.408678559917}",Dexes
DinoSwap,https://dinoswap.exchange,"DinoSwap is a cross-chain infrastructure project that builds liquidity for layer-one blockchains, AMMs and partnering projects.",['Polygon'],DinoSwapHQ,41055.68408958026,"{'Polygon': 41055.68408958026, 'pool2': 19538.116651128214, 'Polygon-pool2': 19538.116651128214, 'Polygon-staking': 0, 'staking': 0}",Dexes
ProtoFi,https://fantombank.protofi.app/,The First AMM on Fantom in which you are the owner of the Protocol,['Fantom'],ProtoFiProtocol,40833.29124029217,{'Fantom': 40833.29124029217},Dexes
ValleySwap,https://valleyswap.com,ValleySwap – DeFi exchange on Oasis Emerald Paratime Mainnet,['Oasis'],ValleySwap,40297.044184291386,{'Oasis': 40297.044184291386},Dexes
VAX,https://vax.mtv.guru,"Fee-Revenue governable DEX with targeted trade-fee adjustments, suitable even as StableSwap with 0.075% ultra-low fee, modeled using inspiration from 1inch, DXDao, Solidly, Sushi & UniswapV3 contracts.",['MultiVAC'],FTM1337,39676.349015041924,{'MultiVAC': 39676.349015041924},Dexes
WingSwap,https://wingswap.io,"WingSwap is a dedicated Decentralized Exchange (DEX) and a staking platform where users can provide liquidity to the DEX, trade different types of assets in a decentralized way and get rewarded for doing so.",['Fantom'],WingSwapFTM,39517.06550316223,"{'Fantom-staking': 2195.552092613746, 'staking': 2195.552092613746, 'Fantom': 39517.06550316223}",Dexes
AUX Exchange,https://aux.exchange/,AUX is the universal exchange. Our mission is to provide the best decentralized trading experience possible. Live on Aptos.,['Aptos'],AuxExchange,38840.00384462495,{'Aptos': 38840.00384462495},Dexes
CapitalDEX,https://capitaldex.exchange/#/swap,The #1 AMM and yield farm on SKALE,['Ethereum'],Capitaldex_,38511.00315288034,{'Ethereum': 38511.00315288034},Dexes
Bagelswap,https://www.bagelswap.com,"BagelSwap stands as a decentralized exchange (DEX) utilizing automated market-making (AMM) on Base chain. In contrast to conventional DEX platforms, our focus lies in establishing a robust base through employment of the BAGEL token for governance, a variety of farming options, an expansive gaming platform, and top tier service orientation centered around users.",['Base'],GamesCroissant,38192.402242750315,{'Base': 38192.402242750315},Dexes
HakuSwap,https://hakuswap.com,"HakuSwap is a crypto world for users to trade, earn, and game. It is the premier choice for projects on Avalanche with features including AMM, NFT, and GameFi.",['Avalanche'],HakuSwap,37904.59005278015,"{'Avalanche': 37904.59005278015, 'Avalanche-staking': 2354.462872808451, 'staking': 2354.462872808451}",Dexes
Magician MV,https://magicianmv.com/#/swap,Decentralized Exchange on Polygon,['Polygon'],MagicianMV,37379.16021897786,{'Polygon': 37379.16021897786},Dexes
